,代码,名称,日期
0,000001,平安银行,2025-08-15
1,000002,万  科Ａ,2025-08-15
2,000004,*ST国华,2025-08-15
3,000006,深振业Ａ,2025-08-15
4,000007,全新好,2025-08-15
5,000008,神州高铁,2025-08-15
6,000009,中国宝安,2025-08-15
7,000010,美丽生态,2025-08-15
8,000011,深物业A,2025-08-15
9,000012,南  玻Ａ,2025-08-15
10,000014,沙河股份,2025-08-15
11,000016,深康佳Ａ,2025-08-15
12,000017,深中华A,2025-08-15
13,000019,深粮控股,2025-08-15
14,000020,深华发Ａ,2025-08-15
15,000021,深科技,2025-08-15
16,000025,特  力Ａ,2025-08-15
17,000026,飞亚达,2025-08-15
18,000027,深圳能源,2025-08-15
19,000028,国药一致,2025-08-15
20,000029,深深房Ａ,2025-08-15
21,000030,富奥股份,2025-08-15
22,000031,大悦城,2025-08-15
23,000032,深桑达Ａ,2025-08-15
24,000034,神州数码,2025-08-15
25,000035,中国天楹,2025-08-15
26,000036,华联控股,2025-08-15
27,000037,深南电A,2025-08-15
28,000039,中集集团,2025-08-15
29,000042,中洲控股,2025-08-15
30,000045,深纺织Ａ,2025-08-15
31,000048,京基智农,2025-08-15
32,000049,德赛电池,2025-08-15
33,000050,深天马Ａ,2025-08-15
34,000055,方大集团,2025-08-15
35,000056,皇庭国际,2025-08-15
36,000058,深 赛 格,2025-08-15
37,000059,华锦股份,2025-08-15
38,000060,中金岭南,2025-08-15
39,000061,农 产 品,2025-08-15
40,000062,深圳华强,2025-08-15
41,000063,中兴通讯,2025-08-15
42,000065,北方国际,2025-08-15
43,000066,中国长城,2025-08-15
44,000068,华控赛格,2025-08-15
45,000069,华侨城Ａ,2025-08-15
46,000070,特发信息,2025-08-15
47,000078,海王生物,2025-08-15
48,000088,盐 田 港,2025-08-15
49,000089,深圳机场,2025-08-15
50,000090,天健集团,2025-08-15
51,000096,广聚能源,2025-08-15
52,000099,中信海直,2025-08-15
53,000100,TCL科技,2025-08-15
54,000151,中成股份,2025-08-15
55,000153,丰原药业,2025-08-15
56,000155,川能动力,2025-08-15
57,000156,华数传媒,2025-08-15
58,000157,中联重科,2025-08-15
59,000158,常山北明,2025-08-15
60,000159,国际实业,2025-08-15
61,000166,申万宏源,2025-08-15
62,000301,东方盛虹,2025-08-15
63,000333,美的集团,2025-08-15
64,000338,潍柴动力,2025-08-15
65,000400,许继电气,2025-08-15
66,000401,冀东水泥,2025-08-15
67,000402,金 融 街,2025-08-15
68,000403,派林生物,2025-08-15
69,000404,长虹华意,2025-08-15
70,000407,胜利股份,2025-08-15
71,000408,藏格矿业,2025-08-15
72,000409,云鼎科技,2025-08-15
73,000410,沈阳机床,2025-08-15
74,000411,英特集团,2025-08-15
75,000415,渤海租赁,2025-08-15
76,000417,合百集团,2025-08-15
77,000419,通程控股,2025-08-15
78,000420,吉林化纤,2025-08-15
79,000421,南京公用,2025-08-15
80,000422,湖北宜化,2025-08-15
81,000423,东阿阿胶,2025-08-15
82,000425,徐工机械,2025-08-15
83,000426,兴业银锡,2025-08-15
84,000428,华天酒店,2025-08-15
85,000429,粤高速Ａ,2025-08-15
86,000430,ST张家界,2025-08-15
87,000488,ST晨鸣,2025-08-15
88,000498,山东路桥,2025-08-15
89,000501,武商集团,2025-08-15
90,000503,国新健康,2025-08-15
91,000504,*ST生物,2025-08-15
92,000505,京粮控股,2025-08-15
93,000506,招金黄金,2025-08-15
94,000507,珠海港,2025-08-15
95,000509,华塑控股,2025-08-15
96,000510,新金路,2025-08-15
97,000513,丽珠集团,2025-08-15
98,000514,渝 开 发,2025-08-15
99,000516,国际医学,2025-08-15
100,000517,荣安地产,2025-08-15
101,000518,*ST四环,2025-08-15
102,000519,中兵红箭,2025-08-15
103,000520,凤凰航运,2025-08-15
104,000521,长虹美菱,2025-08-15
105,000523,红棉股份,2025-08-15
